date,google_trend
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,2
2016-02,3
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,4
2017-01,6
2017-02,5
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,12
2017-08,23
2017-09,20
2017-10,22
2017-11,45
2017-12,100
2018-01,52
2018-02,38
2018-03,20
2018-04,17
2018-05,13
2018-06,12
2018-07,12
2018-08,12
2018-09,12
2018-10,9
2018-11,12
2018-12,12
2019-01,9
2019-02,9
2019-03,8
2019-04,12
2019-05,16
2019-06,20
2019-07,18
2019-08,16
2019-09,14
2019-10,12
2019-11,12
2019-12,11
2020-01,14
2020-02,15
2020-03,22
2020-04,17
2020-05,21
2020-06,16
2020-07,15
2020-08,18
2020-09,14
2020-10,15
2020-11,26
2020-12,33
2021-01,64
2021-02,69
2021-03,53
2021-04,51
2021-05,61
2021-06,45
2021-07,33
2021-08,34
2021-09,33
2021-10,43
2021-11,36
2021-12,37
2022-01,41
2022-02,39
2022-03,37
2022-04,27
2022-05,39
2022-06,45
2022-07,37
2022-08,27
2022-09,26
2022-10,21
2022-11,28
2022-12,21
2023-01,24
2023-02,23
2023-03,27
2023-04,25
2023-05,20
2023-06,21
2023-07,21
2023-08,21
2023-09,18
2023-10,23
2023-11,24
2023-12,31
2024-01,42
2024-02,31
2024-03,48
2024-04,35
2024-05,26
2024-06,22
2024-07,26
2024-08,28
2024-09,23
2024-10,23
2024-11,56
2024-12,52
2025-01,43
2025-02,37
2025-03,36
2025-04,33
2025-05,33
2025-06,26
2025-07,33
2025-08,35
2025-09,28
2025-10,38
2025-11,42
2025-12,36
